"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 16:26:48 IST 2020","Thu Sep 10 16:26:48 IST 2020","174","","test_open_page","","","","test_pass",""
"broken","Thu Sep 10 16:25:52 IST 2020","Thu Sep 10 16:25:52 IST 2020","152","","test_open_page","","","","test_fail",""
